project	timepoint	cap_factor
10__Solar	25	0.0
10__Solar	26	0.0
10__Solar	27	0.0
10__Solar	28	0.0
10__Solar	29	0.0
10__Solar	30	0.0
10__Solar	31	0.0
10__Solar	32	0.109991832
10__Solar	33	0.4537403
10__Solar	34	0.549160733
10__Solar	35	0.628092878
10__Solar	36	0.614489706
10__Solar	37	0.506240613
10__Solar	38	0.485371148
10__Solar	39	0.577595826
10__Solar	40	0.192085142
10__Solar	41	0.005705396
10__Solar	42	0.0
10__Solar	43	0.0
10__Solar	44	0.0
10__Solar	45	0.0
10__Solar	46	0.0
10__Solar	47	0.0
10__Solar	48	0.0
11__Wind	25	0.016367531
11__Wind	26	0.014187956
11__Wind	27	0.023242417
11__Wind	28	0.015073842
11__Wind	29	0.014624902
11__Wind	30	0.01642427
11__Wind	31	0.018768785
11__Wind	32	0.014473774
11__Wind	33	0.006420599
11__Wind	34	0.004578226
11__Wind	35	0.00497825
11__Wind	36	0.005986848
11__Wind	37	0.008251973
11__Wind	38	0.012046315
11__Wind	39	0.019511303
11__Wind	40	0.019503595
11__Wind	41	0.029821989
11__Wind	42	0.033881474
11__Wind	43	0.04442542
11__Wind	44	0.04645503
11__Wind	45	0.053503623
11__Wind	46	0.109149247
11__Wind	47	0.066468769
11__Wind	48	0.126206971
12__Wind	25	0.016367531
12__Wind	26	0.014187956
12__Wind	27	0.023242417
12__Wind	28	0.015073842
12__Wind	29	0.014624902
12__Wind	30	0.01642427
12__Wind	31	0.018768785
12__Wind	32	0.014473774
12__Wind	33	0.006420599
12__Wind	34	0.004578226
12__Wind	35	0.00497825
12__Wind	36	0.005986848
12__Wind	37	0.008251973
12__Wind	38	0.012046315
12__Wind	39	0.019511303
12__Wind	40	0.019503595
12__Wind	41	0.029821989
12__Wind	42	0.033881474
12__Wind	43	0.04442542
12__Wind	44	0.04645503
12__Wind	45	0.053503623
12__Wind	46	0.109149247
12__Wind	47	0.066468769
12__Wind	48	0.126206971
4__Solar	25	0.0
4__Solar	26	0.0
4__Solar	27	0.0
4__Solar	28	0.0
4__Solar	29	0.0
4__Solar	30	0.0
4__Solar	31	0.0
4__Solar	32	0.240674301
4__Solar	33	0.615802123
4__Solar	34	0.716733419
4__Solar	35	0.730903228
4__Solar	36	0.727533514
4__Solar	37	0.725401839
4__Solar	38	0.71905479
4__Solar	39	0.664973311
4__Solar	40	0.446601934
4__Solar	41	0.004551855
4__Solar	42	0.0
4__Solar	43	0.0
4__Solar	44	0.0
4__Solar	45	0.0
4__Solar	46	0.0
4__Solar	47	0.0
4__Solar	48	0.0
5__Wind	25	0.19144344
5__Wind	26	0.202123736
5__Wind	27	0.142588459
5__Wind	28	0.10786511
5__Wind	29	0.113000992
5__Wind	30	0.170146855
5__Wind	31	0.163809131
5__Wind	32	0.225357755
5__Wind	33	0.037760812
5__Wind	34	0.067280622
5__Wind	35	0.139579154
5__Wind	36	0.224592122
5__Wind	37	0.266375103
5__Wind	38	0.332073769
5__Wind	39	0.330253652
5__Wind	40	0.430487909
5__Wind	41	0.606641883
5__Wind	42	0.373195434
5__Wind	43	0.469478035
5__Wind	44	0.353744849
5__Wind	45	0.477550856
5__Wind	46	0.648190369
5__Wind	47	0.752817311
5__Wind	48	0.581758777
6__Wind	25	0.19144344
6__Wind	26	0.202123736
6__Wind	27	0.142588459
6__Wind	28	0.10786511
6__Wind	29	0.113000992
6__Wind	30	0.170146855
6__Wind	31	0.163809131
6__Wind	32	0.225357755
6__Wind	33	0.037760812
6__Wind	34	0.067280622
6__Wind	35	0.139579154
6__Wind	36	0.224592122
6__Wind	37	0.266375103
6__Wind	38	0.332073769
6__Wind	39	0.330253652
6__Wind	40	0.430487909
6__Wind	41	0.606641883
6__Wind	42	0.373195434
6__Wind	43	0.469478035
6__Wind	44	0.353744849
6__Wind	45	0.477550856
6__Wind	46	0.648190369
6__Wind	47	0.752817311
6__Wind	48	0.581758777
